"My Wish List","Мій список бажань"
"Wish List","Список бажань"
"Add to Cart","Додати в кошик"
"Share Wish List","Опублікувати лист бажань"
"Add All to Cart","Додати все в кошик"
"My Account","Особисті дані"
"My Orders","Мої замовлення"
"My Downloadable Products","Мої цифрові товари"
"Address Book","Адресна книга"
"Account Information","Інформація про обліковий запис"
"Stored Payment Methods","Збережені способи оплати"
"My Product Reviews","Моі відгуки про товари"
"Newsletter Subscriptions","Підписка на новини"
"Delivery and Payment","Доставка і оплата"
"Wholesale customers","Оптовим клієнтам"
"Contacts","Контакти"
"Compare","Порівняти"
"Wishlist","Улюблене"
"Login","Увійти"
"Cart","Кошик"
"Catalog products","Каталог товарів"
"Menu","Меню"
"Show more ","Показати ще "
"Exchange rate","Курс"
"Search","Пошук товарів"
"Do you really want to clear the wishlist?","Видалити весь список бажань?"
"Do you really want to delete this product?","Видалити товар?"
"Yes","Так"
"No","Ні"
"Show more %1 items", "Показати ще %1 позицій"
"Clear All Wishlist","Очистити список бажань"
"Do you want to clear all wishlist?","Очистити список бажань?"
